TransactionID,Timestamp,DayOfWeek,BranchLocation,CustomerID,Gender,Service,Price (IDR),BarberName,BarberTier,Rating (1-5),Duration (Minutes),Price (USD),Service (English),Gender (English),DayOfWeek (English)
TRX001,2025-01-01 10:45:11,Rabu,Jakarta Selatan,CUST188,Pria,Potong Rambut Pria,60000.0,Budi,Senior,5.0,28.0,3.87,Potong Rambut Pria,Male,Wednesday
TRX002,2025-01-01 11:20:45,Rabu,Jakarta Pusat,CUST112,Pria,Cukur Jenggot,35000.0,Eko,Junior,4.0,21.0,2.26,Cukur Jenggot,Male,Wednesday
TRX003,2025-01-01 12:55:01,Rabu,Jakarta Utara,CUST134,Pria,Potong Rambut Pria,55000.0,Charlie,Senior,5.0,33.0,3.55,Potong Rambut Pria,Male,Wednesday
TRX004,2025-01-01 14:18:22,Rabu,Jakarta Timur,CUST176,Pria,Paket Ganteng,75000.0,Joko,Junior,4.0,53.0,4.84,Paket Ganteng,Male,Wednesday
TRX005,2025-01-01 15:30:10,Rabu,Jakarta Selatan,CUST195,Wanita,Potong Rambut Wanita,95000.0,Rina,Senior,5.0,59.0,6.13,Potong Rambut Wanita,Female,Wednesday
TRX006,2025-01-01 16:40:33,Rabu,Jakarta Pusat,CUST105,Pria,Potong Rambut Pria,50000.0,Eko,Junior,4.0,31.0,3.23,Potong Rambut Pria,Male,Wednesday
TRX007,2025-01-01 18:05:59,Rabu,Jakarta Utara,CUST141,Pria,Cukur Jenggot,35000.0,Charlie,Senior,5.0,18.0,2.26,Cukur Jenggot,Male,Wednesday
TRX008,2025-01-01 19:22:18,Rabu,Jakarta Timur,CUST162,Pria,Potong Rambut Anak,45000.0,Joko,Junior,5.0,24.0,2.9,Potong Rambut Anak,Male,Wednesday
TRX009,2025-01-01 20:30:05,Rabu,Jakarta Selatan,CUST181,Pria,Cat Rambut,250000.0,Rina,Senior,4.0,115.0,16.13,Cat Rambut,Male,Wednesday
TRX010,2025-01-02 10:10:29,Kamis,Jakarta Pusat,CUST121,Pria,Paket Ganteng,80000.0,Eko,Junior,5.0,49.0,5.16,Paket Ganteng,Male,Thursday
TRX011,2025-01-02 11:45:14,Kamis,Jakarta Utara,CUST155,Pria,Potong Rambut Pria,55000.0,Charlie,Senior,4.0,29.0,3.55,Potong Rambut Pria,Male,Thursday
TRX012,2025-01-02 13:01:37,Kamis,Jakarta Timur,CUST170,Pria,Cukur Jenggot,35000.0,Joko,Junior,4.0,19.0,2.26,Cukur Jenggot,Male,Thursday
